Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
GFP-1_R1_001	(16.0, 5.0)	(17.0, 382.0)	(18.0, 5835.0)	(19.0, 30227.0)	(20.0, 72253.0)	(21.0, 103490.0)	(22.0, 127655.0)	(23.0, 146437.0)	(24.0, 176561.0)	(25.0, 205083.0)	(26.0, 253455.0)	(27.0, 302225.0)	(28.0, 392994.0)	(29.0, 505903.0)	(30.0, 732499.0)	(31.0, 1171548.0)	(32.0, 2709358.0)	(33.0, 5290297.0)	(34.0, 5771195.0)	(35.0, 4234762.0)	(36.0, 3645377.0)	(37.0, 4747937.0)	(38.0, 10101234.0)	(39.0, 39475016.0)	(40.0, 5684664.0)										
GFP-1_R2_001	(6.0, 5.0)	(7.0, 466.0)	(8.0, 1775.0)	(9.0, 2130.0)	(10.0, 2226.0)	(11.0, 2545.0)	(12.0, 3873.0)	(13.0, 4528.0)	(14.0, 4489.0)	(15.0, 6099.0)	(16.0, 16293.0)	(17.0, 17973.0)	(18.0, 42505.0)	(19.0, 69953.0)	(20.0, 93814.0)	(21.0, 97311.0)	(22.0, 100535.0)	(23.0, 105911.0)	(24.0, 123204.0)	(25.0, 135537.0)	(26.0, 157461.0)	(27.0, 173870.0)	(28.0, 204015.0)	(29.0, 230655.0)	(30.0, 273091.0)	(31.0, 307042.0)	(32.0, 385867.0)	(33.0, 478237.0)	(34.0, 664809.0)	(35.0, 957072.0)	(36.0, 1650242.0)	(37.0, 3104986.0)	(38.0, 9369091.0)	(39.0, 55342936.0)	(40.0, 11755846.0)
GFP-2_R1_001	(16.0, 4.0)	(17.0, 199.0)	(18.0, 4006.0)	(19.0, 21506.0)	(20.0, 53606.0)	(21.0, 81271.0)	(22.0, 106290.0)	(23.0, 124970.0)	(24.0, 153748.0)	(25.0, 178822.0)	(26.0, 220706.0)	(27.0, 262302.0)	(28.0, 338869.0)	(29.0, 435410.0)	(30.0, 636101.0)	(31.0, 1106893.0)	(32.0, 2528631.0)	(33.0, 3701185.0)	(34.0, 3213450.0)	(35.0, 2529415.0)	(36.0, 2937049.0)	(37.0, 4596117.0)	(38.0, 10901931.0)	(39.0, 48806684.0)	(40.0, 7929018.0)										
GFP-2_R2_001	(6.0, 8.0)	(7.0, 513.0)	(8.0, 1844.0)	(9.0, 1958.0)	(10.0, 2045.0)	(11.0, 2369.0)	(12.0, 4052.0)	(13.0, 4404.0)	(14.0, 3828.0)	(15.0, 5232.0)	(16.0, 15680.0)	(17.0, 11957.0)	(18.0, 27008.0)	(19.0, 44976.0)	(20.0, 61003.0)	(21.0, 66136.0)	(22.0, 71751.0)	(23.0, 79788.0)	(24.0, 95720.0)	(25.0, 107710.0)	(26.0, 125979.0)	(27.0, 139125.0)	(28.0, 163962.0)	(29.0, 186086.0)	(30.0, 221328.0)	(31.0, 244425.0)	(32.0, 307853.0)	(33.0, 384440.0)	(34.0, 536113.0)	(35.0, 781029.0)	(36.0, 1373388.0)	(37.0, 2649349.0)	(38.0, 7977261.0)	(39.0, 57275187.0)	(40.0, 17894676.0)
GFP-3_R1_001	(16.0, 5.0)	(17.0, 251.0)	(18.0, 4169.0)	(19.0, 22735.0)	(20.0, 55914.0)	(21.0, 78423.0)	(22.0, 97236.0)	(23.0, 112569.0)	(24.0, 137264.0)	(25.0, 163499.0)	(26.0, 206121.0)	(27.0, 250255.0)	(28.0, 336732.0)	(29.0, 452462.0)	(30.0, 688388.0)	(31.0, 1220156.0)	(32.0, 3151647.0)	(33.0, 6133597.0)	(34.0, 6360218.0)	(35.0, 4048926.0)	(36.0, 2930871.0)	(37.0, 3537843.0)	(38.0, 6762403.0)	(39.0, 32418366.0)	(40.0, 6902019.0)										
GFP-3_R2_001	(6.0, 2.0)	(7.0, 463.0)	(8.0, 1743.0)	(9.0, 1974.0)	(10.0, 2129.0)	(11.0, 2378.0)	(12.0, 3634.0)	(13.0, 4279.0)	(14.0, 4344.0)	(15.0, 5832.0)	(16.0, 14829.0)	(17.0, 16815.0)	(18.0, 41734.0)	(19.0, 72981.0)	(20.0, 101184.0)	(21.0, 105769.0)	(22.0, 106890.0)	(23.0, 110900.0)	(24.0, 127238.0)	(25.0, 139208.0)	(26.0, 160046.0)	(27.0, 176860.0)	(28.0, 205779.0)	(29.0, 233820.0)	(30.0, 276121.0)	(31.0, 311997.0)	(32.0, 390792.0)	(33.0, 482242.0)	(34.0, 662212.0)	(35.0, 939619.0)	(36.0, 1584520.0)	(37.0, 2898950.0)	(38.0, 8863358.0)	(39.0, 48727267.0)	(40.0, 9294160.0)
GFP_1_R1_001	(16.0, 5.0)	(17.0, 382.0)	(18.0, 5835.0)	(19.0, 30227.0)	(20.0, 72253.0)	(21.0, 103490.0)	(22.0, 127655.0)	(23.0, 146437.0)	(24.0, 176561.0)	(25.0, 205083.0)	(26.0, 253455.0)	(27.0, 302225.0)	(28.0, 392994.0)	(29.0, 505903.0)	(30.0, 732499.0)	(31.0, 1171548.0)	(32.0, 2709358.0)	(33.0, 5290297.0)	(34.0, 5771195.0)	(35.0, 4234762.0)	(36.0, 3645377.0)	(37.0, 4747937.0)	(38.0, 10101234.0)	(39.0, 39475016.0)	(40.0, 5684664.0)										
GFP_1_R2_001	(6.0, 5.0)	(7.0, 466.0)	(8.0, 1775.0)	(9.0, 2130.0)	(10.0, 2226.0)	(11.0, 2545.0)	(12.0, 3873.0)	(13.0, 4528.0)	(14.0, 4489.0)	(15.0, 6099.0)	(16.0, 16293.0)	(17.0, 17973.0)	(18.0, 42505.0)	(19.0, 69953.0)	(20.0, 93814.0)	(21.0, 97311.0)	(22.0, 100535.0)	(23.0, 105911.0)	(24.0, 123204.0)	(25.0, 135537.0)	(26.0, 157461.0)	(27.0, 173870.0)	(28.0, 204015.0)	(29.0, 230655.0)	(30.0, 273091.0)	(31.0, 307042.0)	(32.0, 385867.0)	(33.0, 478237.0)	(34.0, 664809.0)	(35.0, 957072.0)	(36.0, 1650242.0)	(37.0, 3104986.0)	(38.0, 9369091.0)	(39.0, 55342936.0)	(40.0, 11755846.0)
GFP_2_R1_001	(16.0, 4.0)	(17.0, 199.0)	(18.0, 4006.0)	(19.0, 21506.0)	(20.0, 53606.0)	(21.0, 81271.0)	(22.0, 106290.0)	(23.0, 124970.0)	(24.0, 153748.0)	(25.0, 178822.0)	(26.0, 220706.0)	(27.0, 262302.0)	(28.0, 338869.0)	(29.0, 435410.0)	(30.0, 636101.0)	(31.0, 1106893.0)	(32.0, 2528631.0)	(33.0, 3701185.0)	(34.0, 3213450.0)	(35.0, 2529415.0)	(36.0, 2937049.0)	(37.0, 4596117.0)	(38.0, 10901931.0)	(39.0, 48806684.0)	(40.0, 7929018.0)										
GFP_2_R2_001	(6.0, 8.0)	(7.0, 513.0)	(8.0, 1844.0)	(9.0, 1958.0)	(10.0, 2045.0)	(11.0, 2369.0)	(12.0, 4052.0)	(13.0, 4404.0)	(14.0, 3828.0)	(15.0, 5232.0)	(16.0, 15680.0)	(17.0, 11957.0)	(18.0, 27008.0)	(19.0, 44976.0)	(20.0, 61003.0)	(21.0, 66136.0)	(22.0, 71751.0)	(23.0, 79788.0)	(24.0, 95720.0)	(25.0, 107710.0)	(26.0, 125979.0)	(27.0, 139125.0)	(28.0, 163962.0)	(29.0, 186086.0)	(30.0, 221328.0)	(31.0, 244425.0)	(32.0, 307853.0)	(33.0, 384440.0)	(34.0, 536113.0)	(35.0, 781029.0)	(36.0, 1373388.0)	(37.0, 2649349.0)	(38.0, 7977261.0)	(39.0, 57275187.0)	(40.0, 17894676.0)
