## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/GFP-1.dedup.bam] OUTPUT=analysis/qc/GFP-1_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 22 06:12:12 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	51018689	0	0	0	12469496	62315	0.24441	86857065

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	33045739
2	2398314
3	1337674
4	796811
5	455987
6	247639
7	130122
8	65492
9	32748
10	16432
11	8564
12	4572
13	2604
14	1543
15	986
16	696
17	521
18	380
19	324
20	243
21	171
22	164
23	139
24	114
25	119
26	110
27	93
28	67
29	64
30	59
31	43
32	38
33	56
34	52
35	40
36	41
37	24
38	26
39	26
40	20
41	14
42	18
43	15
44	18
45	15
46	14
47	14
48	8
49	13
50	18
51	10
52	7
53	7
54	6
55	14
56	4
57	2
58	8
59	9
60	6
61	5
62	8
63	4
64	5
65	4
66	11
67	5
68	2
69	12
70	4
71	1
72	2
73	2
74	5
75	2
76	3
77	2
78	3
79	2
81	1
82	2
83	3
84	5
85	2
86	2
87	2
88	1
89	2
90	2
91	1
92	1
93	2
94	1
96	1
97	1
99	1
101	3
102	2
103	2
104	1
106	1
109	2
110	1
114	1
116	1
118	1
119	1
123	1
125	1
126	1
127	1
128	1
129	2
131	1
136	2
150	1
162	1
164	1
184	1
185	1
186	1
187	1
202	1
235	1
255	1
265	1
294	1
334	1
336	1

