## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/YAF-2_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=analysis/aligned/YAF-2.dedup.bam OUTPUT=analysis/qc/YAF-2_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 12 12:07:54 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
195	153	30	123	219309436	213.699932	67.272412	29053070	FR	13	25	37	49	61	75	85	111	281	403	727			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
123	1
124	2
125	2
126	11
127	36
128	75
129	185
130	262
131	560
132	1158
133	1842
134	3317
135	5022
136	7218
137	9771
138	13470
139	17862
140	22031
141	27472
142	33040
143	40001
144	47938
145	57472
146	68426
147	78160
148	86720
149	99395
150	293362
151	421198
152	484996
153	509712
154	498109
155	466035
156	419173
157	369409
158	315543
159	265466
160	233347
161	236062
162	263968
163	305825
164	341424
165	370473
166	382551
167	366560
168	320086
169	259841
170	211181
171	192138
172	204925
173	249572
174	305760
175	360942
176	391955
177	389049
178	351064
179	292284
180	237418
181	200339
182	190951
183	213482
184	257899
185	307702
186	343512
187	356334
188	340293
189	296060
190	243679
191	205197
192	187565
193	193721
194	219690
195	255936
196	289872
197	305574
198	301290
199	270566
200	231984
201	199275
202	178275
203	175791
204	188349
205	211611
206	236154
207	248479
208	246838
209	229161
210	204714
211	181303
212	164292
213	158917
214	161651
215	171584
216	183937
217	191629
218	193438
219	184741
220	168163
221	152938
222	138658
223	133500
224	133025
225	138810
226	144855
227	149164
228	149230
229	142348
230	132125
231	121393
232	113117
233	107792
234	107173
235	109051
236	111242
237	113063
238	111596
239	107221
240	100636
241	93608
242	87904
243	84114
244	82245
245	82142
246	83406
247	83311
248	82485
249	79557
250	75236
251	71160
252	66845
253	64239
254	62477
255	61954
256	60934
257	61010
258	59992
259	58720
260	56303
261	53388
262	50487
263	48590
264	46991
265	45868
266	46299
267	45258
268	45205
269	44388
270	42125
271	40150
272	38610
273	37525
274	36209
275	35516
276	35426
277	35163
278	34848
279	34011
280	33312
281	32229
282	30638
283	29650
284	29065
285	28567
286	28455
287	28796
288	28588
289	28607
290	27809
291	26981
292	25624
293	24920
294	24049
295	23990
296	23972
297	24598
298	24765
299	25506
300	25331
301	25165
302	23621
303	22493
304	21502
305	21220
306	21447
307	22036
308	23036
309	24022
310	24217
311	24260
312	23498
313	22193
314	21044
315	20273
316	20308
317	20954
318	21835
319	23448
320	24200
321	24792
322	23917
323	23102
324	21819
325	20830
326	20696
327	20969
328	21839
329	23643
330	24752
331	25408
332	25267
333	24853
334	23310
335	22148
336	21690
337	21971
338	22639
339	24558
340	25423
341	26291
342	26304
343	25521
344	24621
345	23388
346	22874
347	22965
348	23478
349	25499
350	25930
351	26787
352	26545
353	26186
354	25510
355	24499
356	23577
357	23512
358	23697
359	24555
360	25455
361	26343
362	26283
363	25692
364	25257
365	24476
366	23301
367	23670
368	23828
369	24647
370	24757
371	24941
372	25160
373	24879
374	24353
375	23395
376	22995
377	22836
378	22531
379	23142
380	23203
381	23613
382	23394
383	22961
384	22749
385	21839
386	21280
387	21104
388	20898
389	21337
390	21235
391	21445
392	21440
393	20948
394	20478
395	19766
396	19490
397	18878
398	18893
399	19383
400	18722
401	18724
402	18885
403	18235
404	18080
405	17729
406	17068
407	16553
408	16514
409	16567
410	16244
411	16019
412	16225
413	15825
414	15281
415	14932
416	14618
417	14251
418	13872
419	13896
420	13543
421	13331
422	13323
423	13193
424	12890
425	12544
426	11817
427	11807
428	11272
429	11515
430	11101
431	10935
432	11078
433	10826
434	10480
435	10185
436	9987
437	9634
438	9570
439	9212
440	9316
441	8893
442	8967
443	8780
444	8542
445	8439
446	8108
447	7876
448	7835
449	7627
450	7437
451	7462
452	7102
453	7154
454	7016
455	6765
456	6510
457	6603
458	6334
459	6298
460	6044
461	6048
462	6118
463	5990
464	5680
465	5811
466	5563
467	5486
468	5285
469	5506
470	5310
471	5319
472	5227
473	5215
474	5179
475	5109
476	4954
477	4896
478	4854
479	5003
480	4999
481	4814
482	4853
483	4681
484	4726
485	4713
486	4646
487	4547
488	4839
489	4543
490	4101
491	4127
492	4045
493	4127
494	4061
495	4043

